venue,day,date,time_slot,dance_id,rhd_id,status,attendance_pct,missing_dancers
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_22,rd_04,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_24,rd_08,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_01,rd_01,CAST_CONFLICTS,90.32258064516128,"d_008, d_011, d_028"
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_02,rd_02,CAST_CONFLICTS,95.45454545454545,d_028
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_07,rd_05,CAST_CONFLICTS,87.5,d_011
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_11,rd_06,CAST_CONFLICTS,87.5,d_011
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_12,rd_06,CAST_CONFLICTS,83.33333333333334,d_008
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_13,rd_06,CAST_CONFLICTS,90.0,d_028
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_17,rd_02,CAST_CONFLICTS,83.33333333333334,d_008
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_18,rd_01,CAST_CONFLICTS,80.0,d_028
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_20,rd_07,CAST_CONFLICTS,87.5,d_008
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_23,rd_08,CAST_CONFLICTS,85.71428571428571,d_008
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_25,rd_08,CAST_CONFLICTS,84.61538461538461,"d_011, d_028"
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_26,rd_08,CAST_CONFLICTS,90.9090909090909,d_008
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_03,rd_03,RD_UNAVAILABLE,0,RD
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_04,rd_03,RD_UNAVAILABLE,0,RD
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_05,rd_03,RD_UNAVAILABLE,0,RD
